"","GEOID","insur_rate","medn_incm","educ_rate","PoC","EJStress","BrwnFl_500","BrwnFl_250","BrwnFl_1k"
"248","340030061022",0.81615925058548,0.211619153523386,0.125188536953243,0.420374707259953,0.76,0,0,0
"249","340030061023",0.859168241965974,0.194523221907112,0.418725617685306,0.672022684310019,0.68,0,0,0
"250","340030062011",0.75668449197861,0.379934480262079,0.456439393939394,0.535828877005348,0.68,0,0,0
"251","340030062012",0.979241877256318,0.37375050499798,0.362068965517241,0.617328519855596,0.68,0,0,0
"252","340030062013",0.973651191969887,0.049811800752797,0.249244712990937,0.761606022584693,0.6,0,0,0
"253","340030062014",1,0.631029475882096,0.502762430939227,0.435835351089588,0.68,0,0,0
"254","340030062021",0.950630828304992,0.496514013943944,0.488721804511278,0.691168403730115,0.64,0,0,0
"255","340030062022",0.976063829787234,0.532833868664525,0.702445652173913,0.420212765957447,0.6,0,0,0
"256","340030062023",0.980582524271845,0.418074327702689,0.821948488241881,0.305285868392665,0.56,0,0,0
"257","340030062024",1,0.540565837736649,0.662192393736018,0.516248839368617,0.6,0,0,0
"258","340030063011",0.887183422870299,0.207279170883316,0.321111111111111,0.676132003069839,0.72,0,0,0
"259","340030063012",0.675691583284285,0.367586529653881,0.220322886989554,0.690994702766333,0.8,0,0,0
"260","340030063013",0.888412017167382,NA,0.214901960784314,0.673283261802575,0.68,0,0,0
"261","340030063021",1,0.677773288906844,0.378217821782178,0.15220700152207,0.72,0,0,0
"262","340030063022",0.80586592178771,NA,0.531953195319532,0.699720670391061,0.8,0,0,0
"263","340030063023",1,0.704953180187279,0.652582159624413,0.424453280318091,0.68,0,0,0
"264","340030063024",0.921675774134791,0.191215235139059,0.392982456140351,0.75591985428051,0.76,0,0,0
"265","340030070011",0.92,0.723569105723577,0.600954979536153,0.533333333333333,0.68,0,0,0
"266","340030070012",0.943286476005817,0.550453798184807,0.675965665236052,0.476100331282537,0.84,0,0,0
"267","340030070021",1,0.9937480250079,0.765,0.463338533541342,0.32,0,0,0
"268","340030070022",0.964424680377988,0.90563637745449,0.702821869488536,0.710950528071151,0.48,0,0,0
"269","340030070023",0.96042868920033,0.506781972872108,0.698630136986301,0.555647155812036,0.68,0,0,0
"270","340030070024",1,0.404166383334467,0.621505376344086,0.470246734397678,0.64,0,0,0
"271","340030080011",0.965646806226516,0.714541141835433,0.624713958810069,0.492753623188406,0.64,0,0,0
"272","340030080012",0.990958408679928,0.620885516457934,0.394190871369295,0.529100529100529,0.88,0,0,0
"273","340030080013",0.953922789539228,0.740453038187847,0.50544844928751,0.278331257783313,0.68,0,0,0
"274","340030080021",0.968075117370892,NA,0.635212888377445,0.39197267292912,0.8,0,0,0
"275","340030080022",0.991447368421053,0.693329226683093,0.623456790123457,0.493421052631579,0.64,0,0,0
"276","340030080023",1,0.765308938764245,0.635253054101222,0.360574268360022,0.76,0,0,0
"277","340030091001",0.969845150774246,0.637705449178203,0.718457943925234,0.419722901385493,0.52,0,0,0
"278","340030091002",0.994717379820391,0.86812052751789,0.828967642526965,0.254622292657158,0.6,0,0,0
"279","340030091003",1,0.6312494750021,0.65234375,0.382801664355062,0.52,0,0,0
"280","340030091004",0.95959595959596,0.595273618905524,0.742718446601942,0.317722681359045,0.64,0,0,0
